course_name,distance,start_point_name,last_point,course_level,course_points,start_coordinates,end_coordinates
관악산 계곡 나들길,5.58km,관악산야외식물원,관악산야외식물원,2,관악산호수공원~용천수~관악산야외식물원,"(126.948136840262, 37.4611179744408)","(126.948136840262, 37.4611179744408)"
동작충효길(7코스_까치산길),3.53km,"경로당, 어린이 놀이터",북카페,1,"서울시립남서울미술관~생태통로~경로당, 어린이놀이터~북카페","(128.733492927729, 36.8902682485911)","(127.060903944952, 37.2746688193986)"
동작충효길(6코스_동작마루길),4.58km,숲길입구,상현중학교,2,청운종합복지원~동작관악적십자봉사관~상현중학교,"(126.626080620413, 33.4229214668695)","(126.96128558902, 37.4942837664176)"
동작충효길(5코스_보라매길),2.50km,보라매 e편한세상 아파트,동작구민회관,2,보라매e편한세상아파트~보라매삼성아파트~동작구민회관,"(126.92855886373948, 37.495425401482)","(126.922743463895, 37.4938972382326)"
동작충효길(4코스_노량진길),3.73km,대방 e편한세상 아파트,무장애 등산로,2,노량진수산시장~대방e편한세상~노량진 근린공원~무장애 등산로,"(126.92908141997638, 37.512043859454984)","(127.075862739078, 37.4787215625192)"
동작충효길(3코스_한강나들길),3.96km,사육신공원 입구,효시정,2,사육신공원입구~노량진배수지시민공원~효시정,"(126.94812736041355, 37.5140792161189)","(126.962747565182, 37.5105419834425)"
동작충효길(2코스_현충원길),2.50Km,버스정류장(정금마을),서달산산책로,2,국립현충원입구~사당출입문~서달산산책로,"(126.981038486298, 37.4946453868931)","(126.96254154645, 37.497293533764)"
동작충효길(1코스_고구동산길),2.80km,고구동산 조망명소,달마사,2,노량진근린공원입구~고구동산조명명소~서달산자연생태탐방로~달마사,"(126.95477265767467, 37.50652342098752)","(126.96270819972, 37.498727988646)"
보라매공원 산책길,1.63km,보라매공원 후문,보라매공원 후문,1,보라매공원 호수~인공암벽등반장~보라매공원 후문,"(126.92051756183096, 37.49328307697023)","(126.92051756183096, 37.49328307697023)"
현충원 나들길,7.34km,버스정류장(정금마을),육탄10용사 현충비,2,정국교~박정희대통령묘소입구~호국지장사~육탄10용사 현충비,"(126.981038486298, 37.4946453868931)","(126.973025354455, 37.5014157931193)"
반포천,2.57Km,고속터미널역,고속터미널역,1,동작역 인근~구반포역 인근~반포주공아파트 인근~반포종합운동장 인근~고속터미널역 인근,"(127.00512100872538, 37.50454885557265)","(127.00512100872538, 37.50454885557265)"
여의천,5.69Km,양재시민의숲역 지하철 신분당선,넘말골,1,양재시민의숲 인근~세원마을 인근~청룡경로당회관 인근~넘말골 인근,"(127.038471341381, 37.4701332061395)","(127.39819186003, 37.1441066932245)"
서리골 서리풀 나들길,3.31km,서리풀 공원 입구,서리풀공원,1,서리골공원~몽마르뜨공원~서리풀공원,"(127.000615134838, 37.4911365828733)","(127.000615134838, 37.4911365828733)"
우면산 나들길,3.86km,예술의전당,소망탑 전망대,2,남부터미널역~소망탑 전망대,"(127.01375358339827, 37.479446101344905)","(127.012136902743, 37.4728130445431)"
세곡천,3.70Km,대왕파출소 버스정류장,헌인릉,1,삼일자동차운전전문학원 인근~대왕초등학교 인근~세곡리엔파크1단지 인근~강남세곡LH푸르지오~헌인릉 인근,"(127.107326502621, 37.4651820217648)","(127.082087774919, 37.4653644311783)"
강남서초한강길,10.17Km,한양8차아파트,청담도로공원,1,한강홍수통제소 인근~달빛광장 인근~한강공원잠원지구 인근~성수대교 인근~한양8차아파트 인근구산아파트 인근~청담도로공원 인근,"(127.04208170995, 37.5300957298357)","(127.063415089058, 37.5201571578704)"
독정천,2.48Km,가든파이브,독정천끝,1,가든파이브(탄천) 인근~성모자애복지관 인근~서울자원 인근~독정천끝 인근,"(127.12479134707128, 37.477790721122545)","(127.407580838103, 36.2653091366677)"
